,host_id,number_of_reviews,neighbourhood_cleansed,host_acceptance_rate,host_response_rate,room_type,amenities,price,host_verifications,bathrooms_text,description,host_name,id,number,type,listing_id
123,9036002,80,1er Arrondissement,46%,100%,Entire home/apt,44,110.0,"['email', 'phone']",1 bath,579.0,Patrick,1713257,1.0,bath,1713257
124,9132461,49,2e Arrondissement,0%,100%,Private room,12,40.0,"['email', 'phone']",1 shared bath,1000.0,Dominique,1733448,1.0,shared bath,1733448
125,9143136,49,5e Arrondissement,82%,100%,Entire home/apt,34,71.0,"['email', 'phone']",1 bath,355.0,Karine,1736079,1.0,bath,1736079
126,3881722,350,6e Arrondissement,99%,100%,Entire home/apt,39,62.0,"['email', 'phone']",1 bath,395.0,Anne-Charlotte,1741071,1.0,bath,1741071
128,7068319,263,5e Arrondissement,98%,89%,Entire home/apt,29,86.0,"['email', 'phone']",1 bath,1000.0,Malio,1751911,1.0,bath,1751911
129,9390086,44,9e Arrondissement,80%,67%,Entire home/apt,35,73.0,"['email', 'phone']",1 bath,1000.0,A,1789544,1.0,bath,1789544
130,4156965,28,6e Arrondissement,96%,100%,Entire home/apt,31,62.0,"['email', 'phone']",1 bath,1000.0,Emilie,1813360,1.0,bath,1813360
131,9344721,49,2e Arrondissement,100%,100%,Entire home/apt,49,75.0,"['email', 'phone']",1 bath,1000.0,Pascale,1815981,1.0,bath,1815981
133,9582479,234,5e Arrondissement,100%,100%,Entire home/apt,43,53.0,"['email', 'phone']",1 bath,1000.0,Patrick & Pascale,1832285,1.0,bath,1832285
135,5931758,63,1er Arrondissement,100%,100%,Entire home/apt,27,104.0,"['email', 'phone']",1 bath,1000.0,2beapart,1846986,1.0,bath,1846986
136,4156965,29,6e Arrondissement,96%,100%,Entire home/apt,26,55.0,"['email', 'phone']",1 bath,1000.0,Emilie,1848728,1.0,bath,1848728
137,9703110,300,4e Arrondissement,92%,100%,Private room,23,40.0,"['email', 'phone']",1 private bath,1000.0,Marie-Joelle  - Gerard,1859928,1.0,private bath,1859928
138,9732751,104,7e Arrondissement,100%,100%,Entire home/apt,27,61.0,"['email', 'phone']",1 bath,1000.0,Christophe,1866856,1.0,bath,1866856
142,9782560,12,1er Arrondissement,25%,50%,Entire home/apt,18,125.0,"['email', 'phone']",2 baths,1000.0,Maude,1878564,2.0,baths,1878564
145,5931758,55,1er Arrondissement,100%,100%,Entire home/apt,26,86.0,"['email', 'phone']",1 bath,1000.0,2beapart,1885147,1.0,bath,1885147
147,5707606,214,2e Arrondissement,93%,100%,Entire home/apt,28,106.0,['phone'],1 bath,730.0,Patrick,1917560,1.0,bath,1917560
149,4156965,32,6e Arrondissement,96%,100%,Entire home/apt,26,49.0,"['email', 'phone']",1 bath,1000.0,Emilie,1927981,1.0,bath,1927981
150,9997315,82,5e Arrondissement,89%,100%,Entire home/apt,29,247.0,"['email', 'phone']",2 baths,730.0,Claire,1931175,2.0,baths,1931175
151,9659907,485,7e Arrondissement,72%,100%,Private room,23,60.0,"['email', 'phone']",1 shared bath,1000.0,Martine,1933392,1.0,shared bath,1933392
152,10008593,2,3e Arrondissement,43%,100%,Entire home/apt,32,300.0,"['email', 'phone']",3 baths,979.0,Pierre,1933792,3.0,baths,1933792
154,10030582,80,2e Arrondissement,75%,100%,Entire home/apt,27,75.0,"['email', 'phone']",1 bath,607.0,Françoise,1938959,1.0,bath,1938959
158,9032736,91,4e Arrondissement,100%,100%,Entire home/apt,20,112.0,"['email', 'phone']",1 bath,1000.0,Anne,1949220,1.0,bath,1949220
160,9211671,57,4e Arrondissement,14%,100%,Entire home/apt,16,120.0,"['email', 'phone']",1 bath,1000.0,Stephane,1951583,1.0,bath,1951583
162,10120015,4,2e Arrondissement,67%,100%,Private room,25,71.0,"['email', 'phone']",1 shared bath,442.0,Florence,1958003,1.0,shared bath,1958003
163,10120015,106,2e Arrondissement,67%,100%,Entire home/apt,23,100.0,"['email', 'phone']",1 bath,553.0,Florence,1958078,1.0,bath,1958078
164,6183392,20,2e Arrondissement,100%,100%,Entire home/apt,38,150.0,"['email', 'phone']",1.5 baths,811.0,Marie-Helene,1958363,1.5,baths,1958363
165,1760477,73,1er Arrondissement,89%,100%,Private room,26,41.0,"['email', 'phone']",1 shared bath,1000.0,Sabrina,1958504,1.0,shared bath,1958504
168,10194566,94,9e Arrondissement,94%,100%,Entire home/apt,32,180.0,"['email', 'phone']",2 baths,678.0,Véronique,1982379,2.0,baths,1982379
169,10232768,111,9e Arrondissement,100%,100%,Entire home/apt,36,70.0,"['email', 'phone']",1 bath,1000.0,Emmanuel,1983195,1.0,bath,1983195
173,10296185,14,7e Arrondissement,91%,100%,Entire home/apt,26,90.0,"['email', 'phone']",1 bath,1000.0,Carole,2000033,1.0,bath,2000033
176,10332810,87,9e Arrondissement,61%,100%,Private room,25,35.0,"['email', 'phone']",1 shared bath,183.0,Thierry,2007559,1.0,shared bath,2007559
179,5931758,30,1er Arrondissement,100%,100%,Entire home/apt,22,148.0,"['email', 'phone']",1 bath,1000.0,2beapart,2009737,1.0,bath,2009737
181,7995669,44,7e Arrondissement,41%,100%,Entire home/apt,16,100.0,"['email', 'phone']",1 bath,1000.0,Laurence,2013519,1.0,bath,2013519
183,10114815,47,4e Arrondissement,77%,100%,Entire home/apt,8,70.0,"['email', 'phone']",1 bath,267.0,Catherine,2017746,1.0,bath,2017746
184,9993714,378,6e Arrondissement,33%,80%,Entire home/apt,22,99.0,"['email', 'phone']",1 bath,728.0,Gabriel,2018496,1.0,bath,2018496
185,10346274,82,6e Arrondissement,0%,100%,Private room,22,39.0,"['email', 'phone']",1 shared bath,1000.0,Celine,2020878,1.0,shared bath,2020878
186,10399593,52,9e Arrondissement,46%,100%,Entire home/apt,41,69.0,"['email', 'phone']",1 bath,1000.0,Florence,2023674,1.0,bath,2023674
188,7212199,143,5e Arrondissement,84%,100%,Entire home/apt,35,76.0,"['email', 'phone']",1 bath,1000.0,Emma,2055514,1.0,bath,2055514
190,10686594,14,9e Arrondissement,40%,100%,Private room,8,64.0,"['email', 'phone']",1 bath,216.0,Edouard,2094493,1.0,bath,2094493
191,10745109,21,5e Arrondissement,75%,100%,Shared room,18,46.0,"['email', 'phone']",1 shared bath,746.0,Christiane,2107597,1.0,shared bath,2107597
193,10908267,12,4e Arrondissement,38%,100%,Private room,46,40.0,"['email', 'phone']",1 shared bath,821.0,Veronique,2137514,1.0,shared bath,2137514
