,host_id,number_of_reviews,neighbourhood_cleansed,host_acceptance_rate,host_response_rate,room_type,amenities,price,host_verifications,bathrooms_text,description,host_name,id,number,type,listing_id
1263,37879061,7,Saint-Jean-de-Luz,90%,90%,Entire home/apt,32,60.0,"['email', 'phone']",1 bath,1000.0,Veronique,7308591,1.0,bath,7308591
1264,38149854,16,Biarritz,71%,100%,Entire home/apt,16,65.0,"['email', 'phone']",1 bath,410.0,Chantal,7285233,1.0,bath,7285233
1265,28696010,48,Anglet,67%,67%,Entire home/apt,35,72.0,"['email', 'phone']",1 bath,1000.0,Brigitte Et Jean-Michel,7290256,1.0,bath,7290256
1266,38311446,23,Arbonne,82%,100%,Entire home/apt,39,70.0,"['email', 'phone', 'work_email']",1 bath,704.0,Eric,7312439,1.0,bath,7312439
1267,39017825,19,Ascain,79%,100%,Private room,6,63.0,"['email', 'phone']",1 bath,264.0,Alain,7706024,1.0,bath,7706024
1268,4794785,9,Anglet,82%,100%,Entire home/apt,42,160.0,"['email', 'phone']",1 bath,1000.0,Bruno,7312903,1.0,bath,7312903
1269,23773507,36,Ciboure,64%,100%,Private room,11,96.0,"['email', 'phone']",1 private bath,631.0,Martine,7316026,1.0,private bath,7316026
1270,33757843,8,Hendaye,67%,100%,Entire home/apt,43,83.0,"['email', 'phone']",1 bath,965.0,Frédéric,7723968,1.0,bath,7723968
1271,17062426,197,Biarritz,100%,100%,Entire home/apt,25,60.0,"['email', 'phone']",1 bath,1000.0,Magali Et Benjamin,7316850,1.0,bath,7316850
1272,26979909,14,Biarritz,63%,33%,Entire home/apt,48,160.0,"['email', 'phone']",1 bath,770.0,Valérie,7735015,1.0,bath,7735015
1273,30157795,0,Ahetze,100%,100%,Entire home/apt,30,700.0,"['email', 'phone']",3 baths,1000.0,Angelina,7318844,3.0,baths,7318844
1274,3366179,105,Biarritz,87%,100%,Entire home/apt,22,140.0,"['email', 'phone']",1 bath,1000.0,Maïté,7743046,1.0,bath,7743046
1275,38375719,75,GuÃ©thary,47%,100%,Entire home/apt,37,349.0,"['email', 'phone']",6 baths,1000.0,Philippe,7325461,6.0,baths,7325461
1276,13025588,9,Arbonne,78%,100%,Entire home/apt,41,884.0,"['email', 'phone']",2 baths,1000.0,Christelle,7332432,2.0,baths,7332432
1277,40768133,133,Biarritz,79%,100%,Entire home/apt,23,62.0,"['email', 'phone']",1 bath,953.0,Steph,7753978,1.0,bath,7753978
1278,3049654,56,Anglet,99%,100%,Entire home/apt,31,81.0,"['email', 'phone']",1 bath,693.0,Mathieu,7335259,1.0,bath,7335259
1280,40796332,63,Hendaye,92%,100%,Entire home/apt,76,329.0,"['email', 'phone']",2.5 baths,1000.0,Matthieu & Hélène,7758800,2.5,baths,7758800
1281,38438056,274,Bayonne,92%,90%,Entire home/apt,31,49.0,"['email', 'phone']",1 bath,1000.0,Didier,7344812,1.0,bath,7344812
1283,12626706,37,Saint-PÃ©e-sur-Nivelle,62%,86%,Entire home/apt,25,130.0,"['email', 'phone']",3 baths,723.0,Veronique,7351204,3.0,baths,7351204
1285,17781331,83,Bayonne,94%,80%,Entire home/apt,16,45.0,"['email', 'phone']",1 bath,287.0,Joseph,7785628,1.0,bath,7785628
1286,40958745,286,Biarritz,100%,100%,Private room,26,60.0,"['email', 'phone']",1 bath,1000.0,Aurèlien,7786312,1.0,bath,7786312
1291,17994469,52,Biarritz,100%,100%,Entire home/apt,34,106.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Laurent,7380117,1.0,bath,7380117
1292,38728574,23,Cambo-les-Bains,65%,100%,Entire home/apt,30,65.0,"['email', 'phone']",1 bath,1000.0,Martine,7391743,1.0,bath,7391743
1293,38728574,10,Cambo-les-Bains,65%,100%,Entire home/apt,26,60.0,"['email', 'phone']",1 bath,1000.0,Martine,7392725,1.0,bath,7392725
1294,27089227,1,Saint-Jean-de-Luz,77%,95%,Entire home/apt,16,235.0,"['email', 'phone']",2 baths,896.0,Ashleigh,7800201,2.0,baths,7800201
1295,20907053,15,Biarritz,88%,100%,Entire home/apt,29,130.0,"['email', 'phone']",1.5 baths,864.0,Cédric,7814476,1.5,baths,7814476
1297,29680530,52,Saint-Jean-de-Luz,100%,100%,Entire home/apt,32,125.0,"['email', 'phone']",1 bath,1000.0,Nathalie,7833383,1.0,bath,7833383
1299,41349835,76,Larceveau-Arros-Cibits,100%,100%,Entire home/apt,39,75.0,"['email', 'phone']",2 baths,1000.0,Laetitia,7846978,2.0,baths,7846978
1302,37123480,14,Cambo-les-Bains,78%,80%,Entire home/apt,28,50.0,"['email', 'phone']",1 bath,236.0,Izaskun,7435859,1.0,bath,7435859
1303,39017825,59,Ascain,79%,100%,Private room,8,57.0,"['email', 'phone']",1 bath,77.0,Alain,7450191,1.0,bath,7450191
1304,39017825,31,Ascain,79%,100%,Private room,7,68.0,"['email', 'phone']",1 bath,333.0,Alain,7450210,1.0,bath,7450210
1305,39025719,88,Saint-Jean-de-Luz,96%,100%,Private room,16,85.0,['phone'],1 private bath,376.0,Michèle,7451657,1.0,private bath,7451657
1307,41353052,25,Bayonne,91%,100%,Entire home/apt,45,70.0,"['email', 'phone']",1 bath,791.0,Arnaud,7847772,1.0,bath,7847772
1308,41356342,118,Saint-Jean-de-Luz,100%,100%,Entire home/apt,38,100.0,"['email', 'phone']",1 bath,1000.0,Emma,7848324,1.0,bath,7848324
1309,39034639,9,Biarritz,80%,71%,Entire home/apt,18,185.0,['phone'],2 baths,1000.0,Pierre,7453479,2.0,baths,7453479
1310,14503180,10,Sare,91%,100%,Entire home/apt,22,150.0,"['email', 'phone']",1 bath,269.0,Jon,7454467,1.0,bath,7454467
1312,39046098,21,Anglet,87%,100%,Entire home/apt,20,145.0,"['email', 'phone']",1 bath,412.0,Jean Paul,7455572,1.0,bath,7455572
1313,36615183,9,Saint-Jean-Pied-de-Port,50%,100%,Private room,23,109.0,"['email', 'phone']",1 private bath,529.0,Genevieve,7472879,1.0,private bath,7472879
1314,36615183,27,Saint-Jean-Pied-de-Port,50%,100%,Private room,21,94.0,"['email', 'phone']",1 private bath,566.0,Genevieve,7473445,1.0,private bath,7473445
1315,36615183,10,Saint-Jean-Pied-de-Port,50%,100%,Private room,19,166.0,"['email', 'phone']",1 private bath,523.0,Genevieve,7474536,1.0,private bath,7474536
1316,39207730,110,Biarritz,64%,100%,Entire home/apt,26,99.0,"['email', 'phone']",1 bath,554.0,Thomas,7486038,1.0,bath,7486038
1317,41438717,20,Armendarits,73%,100%,Entire home/apt,32,81.0,"['email', 'phone']",1 bath,1000.0,Christelle,7863042,1.0,bath,7863042
1318,15570489,61,Saint-Jean-de-Luz,45%,100%,Entire home/apt,12,75.0,"['email', 'phone']",1 bath,757.0,Allande,7496005,1.0,bath,7496005
1319,41450109,37,Bidart,90%,100%,Entire home/apt,19,85.0,"['email', 'phone']",1 bath,536.0,Xavier,7864867,1.0,bath,7864867
1320,39312624,31,Biarritz,70%,100%,Entire home/apt,43,171.0,"['email', 'phone']",2 baths,1000.0,Sophie,7504045,2.0,baths,7504045
1321,39312624,19,Biarritz,70%,100%,Entire home/apt,43,171.0,"['email', 'phone']",2 baths,1000.0,Sophie,7504602,2.0,baths,7504602
1322,39312624,19,Anglet,70%,100%,Entire home/apt,48,158.0,"['email', 'phone']",3 baths,1000.0,Sophie,7504736,3.0,baths,7504736
1323,39312624,7,Urrugne,70%,100%,Entire home/apt,41,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,7505000,2.0,baths,7505000
1324,27089227,14,Saint-Jean-de-Luz,77%,95%,Entire home/apt,12,96.0,"['email', 'phone']",1 bath,784.0,Ashleigh,7522673,1.0,bath,7522673
1325,5010880,5,Arbonne,100%,100%,Entire home/apt,36,400.0,"['email', 'phone']",4 baths,880.0,Marcelle,7881681,4.0,baths,7881681
1326,39312624,12,Biarritz,70%,100%,Entire home/apt,45,150.0,"['email', 'phone']",2 baths,1000.0,Sophie,7528838,2.0,baths,7528838
1327,39254721,295,Biarritz,88%,100%,Private room,25,70.0,"['email', 'phone', 'work_email']",1 shared bath,1000.0,Helene,7541040,1.0,shared bath,7541040
1330,39543184,22,Saint-Jean-de-Luz,67%,100%,Entire home/apt,13,111.0,"['email', 'phone']",1 bath,602.0,Maria Magdalena,7546255,1.0,bath,7546255
1331,11438087,44,Hendaye,96%,100%,Entire home/apt,30,75.0,"['email', 'phone']",1 bath,1000.0,Francoise,7892481,1.0,bath,7892481
1332,24350295,29,Ahetze,100%,100%,Entire home/apt,19,60.0,"['email', 'phone']",1 bath,1000.0,Marie-Pierre,7550484,1.0,bath,7550484
1333,38010950,309,Ispoure,100%,100%,Private room,23,49.0,"['email', 'phone']",1 shared bath,818.0,Melanie,7892798,1.0,shared bath,7892798
1334,41630363,90,Anglet,93%,100%,Entire home/apt,31,40.0,"['email', 'phone']",1 bath,799.0,Denis,7895884,1.0,bath,7895884
1336,41628018,71,Biarritz,85%,100%,Entire home/apt,34,110.0,"['email', 'phone']",1 bath,1000.0,Thierry,7896973,1.0,bath,7896973
1337,20882266,27,Larressore,90%,100%,Entire home/apt,40,86.0,"['email', 'phone']",1 bath,1000.0,Mireille,7561199,1.0,bath,7561199
1338,27089227,38,Biarritz,77%,95%,Entire home/apt,13,81.0,"['email', 'phone']",1 bath,685.0,Ashleigh,7571180,1.0,bath,7571180
1339,40862410,39,Biarritz,100%,100%,Entire home/apt,32,69.0,"['email', 'phone']",1 bath,1000.0,Aurelia,7904126,1.0,bath,7904126
1340,39690384,32,Hasparren,75%,100%,Entire home/apt,31,169.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Thierry,7577388,2.0,baths,7577388
1341,37300148,7,Biarritz,82%,96%,Entire home/apt,4,55.0,"['email', 'phone']",1 bath,249.0,Mathieu,7589232,1.0,bath,7589232
1345,39312624,3,Biarritz,70%,100%,Entire home/apt,43,150.0,"['email', 'phone']",2 baths,1000.0,Sophie,7604913,2.0,baths,7604913
1346,41785598,131,Bayonne,92%,100%,Private room,10,63.0,"['email', 'phone']",1 shared bath,745.0,Caroline,7923982,1.0,shared bath,7923982
1347,39312624,10,Biarritz,70%,100%,Entire home/apt,42,150.0,"['email', 'phone']",2 baths,1000.0,Sophie,7609034,2.0,baths,7609034
1348,12660596,78,Bayonne,75%,100%,Entire home/apt,35,85.0,"['email', 'phone']",1 bath,1000.0,Maider,7960666,1.0,bath,7960666
1349,39912900,178,Bayonne,96%,100%,Entire home/apt,27,77.0,['email'],1 bath,346.0,Michel,7610282,1.0,bath,7610282
1350,39781382,21,GuÃ©thary,97%,100%,Private room,18,115.0,"['email', 'phone']",1 private bath,263.0,Armelle,7612366,1.0,private bath,7612366
1351,37300148,0,Biarritz,82%,96%,Entire home/apt,5,70.0,"['email', 'phone']",1 bath,285.0,Mathieu,7970829,1.0,bath,7970829
1352,39312624,17,Biarritz,70%,100%,Entire home/apt,45,171.0,"['email', 'phone']",2 baths,1000.0,Sophie,7616919,2.0,baths,7616919
1353,42266796,40,Anglet,71%,100%,Entire home/apt,28,82.0,"['email', 'phone']",1 bath,276.0,Cecile,8005675,1.0,bath,8005675
1354,42277650,91,Bayonne,96%,86%,Entire home/apt,46,75.0,"['email', 'phone']",1 bath,1000.0,Frédérique,8007564,1.0,bath,8007564
1355,39312624,9,Biarritz,70%,100%,Entire home/apt,45,171.0,"['email', 'phone']",2 baths,1000.0,Sophie,7617045,2.0,baths,7617045
1356,39312624,34,Biarritz,70%,100%,Entire home/apt,44,171.0,"['email', 'phone']",2 baths,1000.0,Sophie,7617109,2.0,baths,7617109
1357,39312624,11,Biarritz,70%,100%,Entire home/apt,42,171.0,"['email', 'phone']",2 baths,1000.0,Sophie,7617191,2.0,baths,7617191
1358,42280126,15,Biarritz,78%,50%,Entire home/apt,31,190.0,"['email', 'phone']",1 bath,788.0,Sarl L 'Espelette,8007803,1.0,bath,8007803
1359,39312624,10,Biarritz,70%,100%,Entire home/apt,45,171.0,"['email', 'phone']",2 baths,1000.0,Sophie,7617283,2.0,baths,7617283
1360,39312624,35,Anglet,70%,100%,Entire home/apt,48,158.0,"['email', 'phone']",3 baths,1000.0,Sophie,7617376,3.0,baths,7617376
1361,39312624,24,Anglet,70%,100%,Entire home/apt,48,158.0,"['email', 'phone']",3 baths,1000.0,Sophie,7617457,3.0,baths,7617457
1363,39312624,5,Anglet,70%,100%,Entire home/apt,48,158.0,"['email', 'phone']",3 baths,1000.0,Sophie,7617692,3.0,baths,7617692
1364,39312624,36,Anglet,70%,100%,Entire home/apt,47,158.0,"['email', 'phone']",3 baths,1000.0,Sophie,7617747,3.0,baths,7617747
1365,39312624,9,Anglet,70%,100%,Entire home/apt,45,158.0,"['email', 'phone']",3 baths,1000.0,Sophie,7617811,3.0,baths,7617811
1366,39312624,20,Anglet,70%,100%,Entire home/apt,48,158.0,"['email', 'phone']",3 baths,1000.0,Sophie,7617919,3.0,baths,7617919
1367,39781382,51,GuÃ©thary,97%,100%,Private room,16,115.0,"['email', 'phone']",1 private 1 half-bath,316.0,Armelle,7620092,1.0,private 1 half-bath,7620092
1368,39781382,43,GuÃ©thary,97%,100%,Private room,19,68.0,"['email', 'phone']",1 shared 1 half-bath,272.0,Armelle,7628688,1.0,shared 1 half-bath,7628688
1369,42358676,13,Bidart,80%,100%,Entire home/apt,35,97.0,"['email', 'phone']",1 bath,243.0,Thierry,8022078,1.0,bath,8022078
1370,39716074,35,Anglet,95%,100%,Private room,17,70.0,"['email', 'phone']",1 shared bath,514.0,Patricia,7632493,1.0,shared bath,7632493
1371,37399793,9,Saint-Pierre-d'Irube,69%,67%,Entire home/apt,10,110.0,"['email', 'phone']",1 bath,990.0,Robert,8039620,1.0,bath,8039620
1372,39781382,36,GuÃ©thary,97%,100%,Private room,18,120.0,"['email', 'phone']",1.5 baths,308.0,Armelle,7639198,1.5,baths,7639198
1373,29871777,91,Bayonne,91%,100%,Entire home/apt,30,66.0,"['email', 'phone']",1 bath,696.0,Delphine,8041879,1.0,bath,8041879
1374,40091837,16,Biarritz,100%,100%,Entire home/apt,33,120.0,"['email', 'phone']",1 bath,1000.0,Sylvie,7640500,1.0,bath,7640500
1375,39312624,19,Anglet,70%,100%,Entire home/apt,47,158.0,"['email', 'phone']",3 baths,1000.0,Sophie,8042280,3.0,baths,8042280
1376,4961278,12,Hendaye,24%,60%,Entire home/apt,31,86.0,"['email', 'phone']",1 bath,1000.0,Clément,7653724,1.0,bath,7653724
1377,39312624,5,Anglet,70%,100%,Entire home/apt,48,158.0,"['email', 'phone']",3 baths,1000.0,Sophie,8042502,3.0,baths,8042502
1378,40192400,43,Saint-PÃ©e-sur-Nivelle,100%,100%,Entire home/apt,31,50.0,"['email', 'phone']",1 bath,565.0,Emilie,7657717,1.0,bath,7657717
1379,42471754,18,Saint-Jean-le-Vieux,100%,100%,Entire home/apt,37,57.0,"['email', 'phone']",1 bath,872.0,Gracie,8042601,1.0,bath,8042601
1380,39312624,15,Urrugne,70%,100%,Entire home/apt,41,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,7662674,2.0,baths,7662674
1381,39312624,11,Urrugne,70%,100%,Entire home/apt,41,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8042704,2.0,baths,8042704
1382,40255223,188,Sare,100%,100%,Private room,32,60.0,"['email', 'phone']",1 private bath,530.0,Francine,7668154,1.0,private bath,7668154
1384,40273934,164,Ciboure,94%,100%,Entire home/apt,76,327.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Corentin,7670600,2.0,baths,7670600
1385,39781382,24,GuÃ©thary,97%,100%,Private room,15,120.0,"['email', 'phone']",1 private bath,231.0,Armelle,7672216,1.0,private bath,7672216
1386,42592143,7,Ciboure,67%,100%,Entire home/apt,32,249.0,"['email', 'phone']",2 baths,545.0,Pierre,8064027,2.0,baths,8064027
1387,40304200,64,Urrugne,71%,100%,Entire home/apt,12,72.0,"['email', 'phone']",1 bath,968.0,Anne Marie,7675594,1.0,bath,7675594
1388,31507740,60,Uhart-Cize,85%,80%,Entire home/apt,14,60.0,"['email', 'phone']",1 bath,837.0,Roseline,7703362,1.0,bath,7703362
1389,42613635,30,Villefranque,83%,100%,Entire home/apt,45,550.0,"['email', 'phone']",2 baths,540.0,Didier,8067984,2.0,baths,8067984
1390,39312624,9,Urrugne,70%,100%,Entire home/apt,41,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8081912,2.0,baths,8081912
1391,33021027,25,Saint-Jean-de-Luz,100%,100%,Entire home/apt,30,69.0,"['email', 'phone']",1 bath,1000.0,Paloma,8092565,1.0,bath,8092565
1393,43674594,26,Cambo-les-Bains,47%,88%,Entire home/apt,15,60.0,"['email', 'phone']",1 bath,259.0,Kattalin,8283095,1.0,bath,8283095
1394,43926368,74,GuÃ©thary,92%,100%,Entire home/apt,9,66.0,"['email', 'phone']",1 bath,285.0,Jean,8332826,1.0,bath,8332826
1395,40561498,22,Biarritz,50%,100%,Entire home/apt,23,60.0,"['email', 'phone']",1 bath,774.0,Guy,8097204,1.0,bath,8097204
1397,42812623,4,Urrugne,20%,0%,Entire home/apt,13,120.0,"['email', 'phone']",2 baths,302.0,Mireille,8108054,2.0,baths,8108054
1398,32364074,153,Saint-PÃ©e-sur-Nivelle,84%,100%,Entire home/apt,37,116.0,"['email', 'phone']",1 bath,1000.0,Isabelle,8346225,1.0,bath,8346225
1399,42885460,11,Ascain,30%,100%,Entire home/apt,12,80.0,"['email', 'phone']",1 bath,335.0,William,8120954,1.0,bath,8120954
1400,20472464,11,La Bastide-Clairence,86%,100%,Entire home/apt,20,70.0,"['email', 'phone']",1 bath,740.0,Lourdès,8357567,1.0,bath,8357567
1401,42016610,20,Arbonne,100%,100%,Entire home/apt,48,60.0,"['email', 'phone']",1 bath,1000.0,Armand,8122923,1.0,bath,8122923
1403,44139553,319,Biarritz,94%,100%,Private room,12,42.0,"['email', 'phone']",1 shared bath,559.0,Laurence,8374738,1.0,shared bath,8374738
1404,42899133,34,Hendaye,14%,100%,Entire home/apt,31,100.0,"['email', 'phone']",1 bath,528.0,Guillaume,8123586,1.0,bath,8123586
1406,42753384,36,Biarritz,100%,100%,Entire home/apt,34,89.0,"['email', 'phone']",1 bath,1000.0,Véronique,8124201,1.0,bath,8124201
1407,44268436,51,Macaye,95%,100%,Entire home/apt,16,64.0,"['email', 'phone']",1 bath,1000.0,Thérèse,8402866,1.0,bath,8402866
1408,40561498,35,Biarritz,50%,100%,Entire home/apt,8,60.0,"['email', 'phone']",1 bath,856.0,Guy,8416688,1.0,bath,8416688
1409,42911418,24,Biarritz,100%,100%,Entire home/apt,31,50.0,"['email', 'phone']",1 bath,1000.0,Alexia,8125984,1.0,bath,8125984
1410,17360996,6,Anglet,67%,100%,Entire home/apt,54,220.0,"['email', 'phone']",1 bath,1000.0,Maylis,8127226,1.0,bath,8127226
1411,41041952,23,Biarritz,100%,100%,Entire home/apt,31,83.0,"['email', 'phone']",1 bath,1000.0,Joelle,8417649,1.0,bath,8417649
1412,42665314,182,Saint-Jean-de-Luz,98%,100%,Entire home/apt,28,60.0,"['email', 'phone']",1 bath,591.0,Dominique,8420248,1.0,bath,8420248
1414,44413276,68,Arcangues,73%,100%,Entire home/apt,30,89.0,"['email', 'phone']",1 bath,282.0,Dorothée,8434835,1.0,bath,8434835
1415,43065230,32,Hendaye,92%,100%,Entire home/apt,34,75.0,"['email', 'phone']",1 bath,662.0,Patrice,8158038,1.0,bath,8158038
1416,44421429,2,Biarritz,69%,80%,Entire home/apt,27,250.0,"['email', 'phone']",1.5 baths,826.0,Sophie,8436554,1.5,baths,8436554
1417,44590255,63,Hendaye,99%,100%,Entire home/apt,34,67.0,"['email', 'phone']",1 bath,1000.0,Lucia,8467119,1.0,bath,8467119
1418,43067275,404,Hendaye,90%,100%,Entire home/apt,44,72.0,"['email', 'phone']",1 bath,1000.0,Celine,8158565,1.0,bath,8158565
1421,29435524,39,Biarritz,92%,100%,Entire home/apt,40,123.0,"['email', 'phone', 'work_email']",1 bath,1000.0,Béatrice,8161262,1.0,bath,8161262
1422,44729890,43,Bidart,87%,100%,Private room,23,64.0,"['email', 'phone']",1 shared bath,1000.0,Laurence,8565523,1.0,shared bath,8565523
1423,39312624,9,Urrugne,70%,100%,Entire home/apt,39,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8162060,2.0,baths,8162060
1424,45088337,54,Ustaritz,100%,100%,Entire home/apt,44,55.0,"['email', 'phone']",1 bath,808.0,Anne Marie,8567256,1.0,bath,8567256
1425,39716074,126,Anglet,95%,100%,Private room,14,34.0,"['email', 'phone']",1 bath,505.0,Patricia,8168433,1.0,bath,8168433
1426,43147781,100,Sare,62%,100%,Entire home/apt,38,65.0,"['email', 'phone']",1 bath,973.0,Sandra,8175548,1.0,bath,8175548
1427,25109866,88,Saint-Jean-de-Luz,64%,100%,Entire home/apt,54,269.0,"['email', 'phone']",3.5 baths,1000.0,Bertrand,8588242,3.5,baths,8588242
1429,36879642,57,Biarritz,100%,100%,Entire home/apt,35,82.0,"['email', 'phone']",1 bath,760.0,Madeleine,8184660,1.0,bath,8184660
1430,2056820,14,Biarritz,60%,100%,Entire home/apt,34,74.0,"['email', 'phone']",1 bath,710.0,Béatrice,8702080,1.0,bath,8702080
1432,45717516,2,Ainhice-Mongelos,50%,67%,Private room,20,70.0,"['email', 'phone']",1 shared bath,507.0,Albanne,8709365,1.0,shared bath,8709365
1433,25625768,8,Biarritz,43%,100%,Entire home/apt,58,480.0,"['email', 'phone']",2.5 baths,1000.0,Patricia,8710803,2.5,baths,8710803
1434,43095704,22,Anglet,100%,100%,Entire home/apt,43,115.0,"['email', 'phone']",1 bath,969.0,Alexandre,8190428,1.0,bath,8190428
1435,45791468,25,Biarritz,67%,100%,Entire home/apt,13,183.0,"['email', 'phone']",2 baths,1000.0,Francis,8725117,2.0,baths,8725117
1437,35772161,33,Irissarry,60%,90%,Entire home/apt,7,120.0,"['email', 'phone']",1.5 baths,240.0,Pierre,8727790,1.5,baths,8727790
1438,39312624,5,Urrugne,70%,100%,Entire home/apt,41,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8207331,2.0,baths,8207331
1439,9470974,86,Saint-Jean-de-Luz,100%,75%,Entire home/apt,34,160.0,"['email', 'phone']",2 baths,792.0,Françoise,8729432,2.0,baths,8729432
1440,39312624,3,Urrugne,70%,100%,Entire home/apt,42,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8207363,2.0,baths,8207363
1441,45880006,61,Saint-Jean-de-Luz,90%,100%,Entire home/apt,28,63.0,"['email', 'phone']",1 bath,1000.0,Sébastien,8746370,1.0,bath,8746370
1442,39312624,26,Urrugne,70%,100%,Entire home/apt,41,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8207387,2.0,baths,8207387
1443,39312624,6,Urrugne,70%,100%,Entire home/apt,43,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8207403,2.0,baths,8207403
1444,39312624,20,Urrugne,70%,100%,Entire home/apt,42,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8207431,2.0,baths,8207431
1445,39312624,2,Urrugne,70%,100%,Entire home/apt,41,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8207498,2.0,baths,8207498
1446,19742559,34,Saint-Jean-de-Luz,73%,100%,Entire home/apt,31,360.0,['phone'],3 baths,867.0,Gael,8766492,3.0,baths,8766492
1447,39312624,5,Urrugne,70%,100%,Entire home/apt,42,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8207526,2.0,baths,8207526
1448,39312624,5,Urrugne,70%,100%,Entire home/apt,41,152.0,"['email', 'phone']",2 baths,1000.0,Sophie,8207588,2.0,baths,8207588
1449,43254266,7,Bidart,40%,100%,Entire home/apt,26,150.0,"['email', 'phone']",1 bath,888.0,Maryane,8774314,1.0,bath,8774314
1450,6405758,34,Biarritz,57%,100%,Entire home/apt,30,250.0,"['email', 'phone']",2 baths,1000.0,Patricia,8790912,2.0,baths,8790912
1451,39312624,10,Urrugne,70%,100%,Entire home/apt,44,130.0,"['email', 'phone']",2 baths,1000.0,Sophie,8207626,2.0,baths,8207626
1454,30010747,29,Saint-Martin-d'Arrossa,100%,100%,Private room,14,51.0,"['email', 'phone']",1 private bath,746.0,Alex,8809936,1.0,private bath,8809936
1455,30010747,26,Saint-Martin-d'Arrossa,100%,100%,Private room,17,56.0,"['email', 'phone']",1 private bath,746.0,Alex,8818642,1.0,private bath,8818642
1456,46202888,0,Hendaye,100%,100%,Entire home/apt,28,95.0,"['email', 'phone']",1 bath,780.0,Sarl,8820065,1.0,bath,8820065
1457,45847204,174,Hasparren,63%,70%,Entire home/apt,21,55.0,"['email', 'phone']",1 bath,823.0,Ramuntxo,8820793,1.0,bath,8820793
1458,46209120,387,Lahonce,100%,100%,Private room,34,32.0,"['email', 'phone']",1 shared bath,1000.0,Marie,8821435,1.0,shared bath,8821435
1459,39142190,180,Anglet,96%,100%,Private room,17,30.0,"['email', 'phone']",1 shared bath,177.0,Alison,8253192,1.0,shared bath,8253192
1460,37399299,61,Biarritz,83%,100%,Entire home/apt,32,84.0,"['email', 'phone']",1 bath,1000.0,Lionel,8855053,1.0,bath,8855053
1461,37081540,70,Ciboure,100%,89%,Private room,20,65.0,"['email', 'phone']",1 private bath,847.0,Eukeni,8870853,1.0,private bath,8870853
1463,43555498,213,Anglet,72%,100%,Entire home/apt,43,95.0,"['email', 'phone']",1 bath,1000.0,Agnes,8259171,1.0,bath,8259171
1464,19778563,81,Anglet,100%,100%,Entire home/apt,42,85.0,"['email', 'phone']",1 bath,776.0,Gertrudix,8267906,1.0,bath,8267906
1465,46483290,37,Anhaux,100%,100%,Entire home/apt,23,100.0,"['email', 'phone']",1 bath,1000.0,Véronique,8883379,1.0,bath,8883379
1466,37296357,50,Bayonne,94%,93%,Entire home/apt,28,65.0,"['email', 'phone']",1 bath,749.0,Marie Pierre,8279162,1.0,bath,8279162
1467,22359909,21,Biriatou,85%,100%,Entire home/apt,10,170.0,"['email', 'phone']",2 baths,642.0,Nicolas,8279691,2.0,baths,8279691
1468,13155543,8,Biarritz,100%,100%,Entire home/apt,43,80.0,"['email', 'phone']",1 bath,1000.0,Françoise,9608938,1.0,bath,9608938
1469,37900702,9,Bassussarry,86%,100%,Entire home/apt,38,350.0,"['email', 'phone']",3.5 baths,511.0,Stéphanie,8883925,3.5,baths,8883925
1470,46483778,71,Hendaye,43%,77%,Entire home/apt,42,75.0,"['email', 'phone']",1 bath,1000.0,Francoise,8897148,1.0,bath,8897148
1471,11092592,2,Hendaye,100%,100%,Private room,31,50.0,"['email', 'phone']",1 shared bath,1000.0,Jerome,9633804,1.0,shared bath,9633804
1473,34248380,21,Biarritz,81%,100%,Entire home/apt,17,90.0,"['email', 'phone']",1 bath,82.0,Hervé,8934704,1.0,bath,8934704
1474,12659050,39,Bayonne,100%,100%,Entire home/apt,27,63.0,"['email', 'phone']",1 bath,1000.0,Antoinette,8934822,1.0,bath,8934822
1475,46790100,285,Hendaye,93%,100%,Entire home/apt,27,45.0,"['email', 'phone']",1 bath,464.0,Jesús,8952106,1.0,bath,8952106
1476,49767765,104,Biarritz,96%,100%,Entire home/apt,42,110.0,"['email', 'phone']",1 bath,1000.0,Marie Jo Et Bernard,9641321,1.0,bath,9641321
1477,46821858,131,Bayonne,100%,100%,Entire home/apt,30,60.0,"['email', 'phone', 'work_email']",1.5 baths,1000.0,Anne,8958462,1.5,baths,8958462
1480,13639254,36,Biarritz,100%,100%,Entire home/apt,24,88.0,"['email', 'phone']",1 bath,850.0,Adrienne,9645678,1.0,bath,9645678
1481,38438056,209,Bayonne,92%,90%,Entire home/apt,30,75.0,"['email', 'phone']",1 bath,1000.0,Didier,8983566,1.0,bath,8983566
